id,name,date,genre,description,backdrop,poster
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,"Animation, Action, Adventure, Fantasy","Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
785752,Intrusion,2021-09-22,Thriller,"When a husband and wife move to a small town, a home invasion leaves the wife traumatized and suspicious that those around her might not be who they seem.",/oM7AstNYo6eSkgAieXvsIxTPPDv.jpg,/o6ozTBflWXlBje0uxJv4m6s4HTq.jpg
522241,The Courier,2021-03-18,"Thriller, Drama, History",Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,/3pIqd1hgZ2xqzWEyiYp4blqE9Fi.jpg,/zFIjKtZrzhmc7HecdFXXjsLR2Ig.jpg
619778,Malignant,2021-09-01,"Horror, Thriller, Mystery, Crime","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",/xDnFlNrNUoSKPq4uptnhYmUZNpm.jpg,/dGv2BWjzwAz6LB8a8JeRIZL8hSz.jpg
585216,Escape Room: Tournament of Champions,2021-07-01,"Horror, Thriller, Mystery","Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before.",/dsdbViTNjLu4DbgkkYmuY4xDQ20.jpg,/jGYJyPzVgrVV2bgClI9uvEZgVLE.jpg
370172,No Time to Die,2021-09-29,"Adventure, Action, Thriller","Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",/kcvKEvTWqIGMjpVJdbDVRHdIt4C.jpg,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg
848278,Jurassic Hunt,2021-08-26,"Action, Science Fiction, Thriller","Female adventurer Parker joins a crew of male trophy hunters in a remote wilderness park. Their goal: slaughter genetically recreated dinosaurs for sport using rifles, arrows, and grenades. After their guide is killed by raptors, the team tries to escape the park – but the hunters quickly become the hunted. Even worse, the park’s manager suspects Parker of being a spy and sends a hit squad after her. This battle’s about to become primitive!",/gzppdxEJ6fofhtLzSVSUJZEVxvq.jpg,/bZnOioDq1ldaxKfUoj3DenHU7mp.jpg
619297,Sweet Girl,2021-08-18,Action,"A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left, his daughter.",/nprqOIEfiMMQx16lgKeLf3rmPrR.jpg,/cP7odDzzFBD9ycxj2laTeFWGLjD.jpg
843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,2021-09-14,"Animation, Comedy, Mystery, Family, Fantasy","With Mystery, Inc. on the tail of a strange object in Nowhere, Kansas, the strange hometown of Eustice, Muriel, and Courage, the gang soon find themselves contending with a giant cicada monster and her winged warriors.",/26LIw3oKGPUEGUpb8AXZ64dZZt8.jpg,/uIdMpWrQ30SHPINsy7LcPFloyvO.jpg
739990,Nightbooks,2021-09-15,"Fantasy, Family, Horror","Alex, a boy obsessed with scary stories, is trapped by a witch in her modern, magical New York City apartment. His original hair-raising tales are the only thing keeping him safe as he desperately tries to find a way out of this twisted place.",/piz0BFUJ4Bro4BFzxxkNpsGCmOd.jpg,/ysJte1iqN8pFQ470tumnViB1wHP.jpg
